Brand,Name,Size,Price,Rating,Source
Yokohama,IceGuard IG53,225/45R17,207.94,4.1/5.0 (492 reviews),MockData
Bridgestone,Turanza QuietTrack,215/55R16,182.63,4.1/5.0 (355 reviews),MockData
Yokohama,Avid Ascend GT,245/45R17,233.21,4.0/5.0 (455 reviews),MockData
Cooper,CS5 Ultra Touring,275/35R19,131.08,3.6/5.0 (81 reviews),MockData
Goodyear,Eagle F1 Asymmetric,265/70R17,130.02,4.5/5.0 (186 reviews),MockData
Bridgestone,Blizzak WS90,265/70R17,214.59,4.2/5.0 (85 reviews),MockData
Toyo,Proxes R1R,245/45R17,184.37,4.8/5.0 (303 reviews),MockData
Falken,Azenis FK510,275/35R19,242.15,4.0/5.0 (176 reviews),MockData
Yokohama,Advan Apex,275/35R19,267.56,4.9/5.0 (236 reviews),MockData
Yokohama,Advan Apex,225/60R16,177.99,3.6/5.0 (267 reviews),MockData
Yokohama,IceGuard IG53,255/40R17,180.89,4.5/5.0 (117 reviews),MockData
Bridgestone,Turanza QuietTrack,235/50R18,198.30,4.7/5.0 (108 reviews),MockData
Cooper,Zeon RS3-G1,245/50R18,142.46,4.1/5.0 (212 reviews),MockData
BFGoodrich,Advantage T/A Sport,245/50R18,246.97,4.4/5.0 (200 reviews),MockData
Continental,VikingContact 7,255/40R17,273.35,4.1/5.0 (348 reviews),MockData
Bridgestone,Blizzak WS90,215/55R16,186.81,4.6/5.0 (313 reviews),MockData
Cooper,Discoverer AT3 4S,215/55R16,268.21,4.1/5.0 (97 reviews),MockData
Toyo,Proxes R1R,245/45R17,279.75,3.6/5.0 (303 reviews),MockData
Goodyear,Assurance MaxLife,235/50R18,255.71,3.9/5.0 (191 reviews),MockData
Toyo,Celsius CUV,235/50R18,83.50,4.1/5.0 (272 reviews),MockData
Toyo,Proxes R1R,275/35R19,89.48,4.7/5.0 (396 reviews),MockData
Cooper,CS5 Ultra Touring,235/50R18,99.66,3.6/5.0 (252 reviews),MockData
Continental,TrueContact Tour,235/50R18,225.75,3.8/5.0 (219 reviews),MockData
Cooper,CS5 Ultra Touring,215/55R16,278.08,3.7/5.0 (315 reviews),MockData
Bridgestone,Turanza QuietTrack,275/35R19,243.59,3.5/5.0 (454 reviews),MockData
Cooper,Zeon RS3-G1,245/50R18,279.39,4.3/5.0 (292 reviews),MockData
Michelin,Pilot Sport 4S,255/40R17,131.11,4.1/5.0 (341 reviews),MockData
BFGoodrich,Advantage T/A Sport,255/40R17,221.85,4.9/5.0 (372 reviews),MockData
Pirelli,Scorpion Verde,275/35R19,214.73,4.8/5.0 (117 reviews),MockData
Yokohama,Advan Apex,255/40R17,213.98,4.0/5.0 (423 reviews),MockData
Cooper,CS5 Ultra Touring,235/50R18,287.72,3.5/5.0 (97 reviews),MockData
Toyo,Proxes R1R,245/50R18,138.72,4.3/5.0 (203 reviews),MockData
Falken,Eurowinter HS01,235/50R18,87.45,4.4/5.0 (87 reviews),MockData
Cooper,CS5 Ultra Touring,265/70R17,91.69,4.3/5.0 (467 reviews),MockData
Bridgestone,Potenza RE-71R,275/35R19,164.10,4.2/5.0 (174 reviews),MockData
Pirelli,Cinturato P7,215/55R16,290.61,3.5/5.0 (335 reviews),MockData
Pirelli,P Zero,245/50R18,269.04,4.7/5.0 (218 reviews),MockData
Continental,VikingContact 7,225/45R17,146.91,4.0/5.0 (100 reviews),MockData
BFGoodrich,All-Terrain T/A KO2,275/35R19,146.13,3.5/5.0 (482 reviews),MockData
BFGoodrich,All-Terrain T/A KO2,245/50R18,265.89,4.6/5.0 (245 reviews),MockData
Goodyear,Eagle F1 Asymmetric,235/60R18,97.17,5.0/5.0 (134 reviews),MockData
Michelin,CrossClimate2,245/50R18,130.60,4.7/5.0 (210 reviews),MockData
Toyo,Celsius CUV,235/60R18,272.54,4.8/5.0 (76 reviews),MockData
Pirelli,Scorpion Verde,215/55R16,85.63,4.2/5.0 (399 reviews),MockData
Michelin,CrossClimate2,225/45R17,269.08,4.0/5.0 (163 reviews),MockData
Yokohama,Advan Apex,265/70R17,154.44,4.6/5.0 (246 reviews),MockData
BFGoodrich,All-Terrain T/A KO2,265/70R17,226.79,4.6/5.0 (53 reviews),MockData
Goodyear,Eagle F1 Asymmetric,215/55R16,186.19,3.7/5.0 (499 reviews),MockData
Pirelli,Scorpion Verde,215/55R16,142.71,4.1/5.0 (400 reviews),MockData
Dunlop,Signature HP,245/45R17,260.94,4.0/5.0 (488 reviews),MockData
Dunlop,Signature HP,235/60R18,270.04,3.7/5.0 (94 reviews),MockData
Continental,TrueContact Tour,225/60R16,193.41,5.0/5.0 (404 reviews),MockData
Continental,VikingContact 7,265/70R17,129.28,5.0/5.0 (160 reviews),MockData
Bridgestone,Blizzak WS90,275/35R19,344.34,4.6/5.0 (275 reviews),MockData
Pirelli,P Zero,215/55R16,90.36,4.9/5.0 (262 reviews),MockData
Michelin,Pilot Sport 4S,245/45R17,159.69,4.1/5.0 (320 reviews),MockData
