Brand,Name,Size,SKU,Price,Cost_Price,Rating,Warehouse,Stock_Qty,Available_Qty,Reserved_Qty,Reorder_Point,Load_Index,Speed_Rating,Season,Supplier_Code,Last_Received,Source,Stock,Installation,Warranty,Road_Hazard,Mounting_Balance,Regular_Price,Member_Price,Savings,Stock_Quantity,Warehouse_Location,Installation_Price,Online_Stock,Store_Location,Store_Stock,Availability,Installation_Fee,Region,Total_Inventory,UTQG,Service_Package,Lead_Time
Falken,Sincera SN250,215/55R16,FAL-4542-2155516,296.87,171.61,4.8/5.0 (153 reviews),Express Center - MD,150.0,147.0,3.0,10.0,92.0,Z,Summer,SUP-405,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Sincera SN250,275/35R19,FAL-2777-2753519,161.42,116.31,4.9/5.0 (338 reviews),Regional Hub - WV,143.0,143.0,0.0,22.0,86.0,Z,Winter,SUP-839,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Proxes R1R,225/45R17,TOY-1962-2254517,280.02,209.55,3.9/5.0 (293 reviews),Express Center - MD,7.0,4.0,3.0,22.0,89.0,Z,All-Season,SUP-643,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,245/50R18,COP-1290-2455018,265.70,174.99,4.1/5.0 (254 reviews),Regional Hub - WV,134.0,133.0,1.0,23.0,105.0,V,All-Season,SUP-853,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,SP Winter Sport 3D,265/70R17,DUN-3629-2657017,136.98,87.86,4.6/5.0 (66 reviews),Express Center - MD,96.0,92.0,4.0,23.0,81.0,V,Summer,SUP-247,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Direzza ZIII,245/50R18,DUN-6183-2455018,166.58,104.02,4.8/5.0 (279 reviews),Main Distribution Center - PA,89.0,89.0,0.0,30.0,97.0,H,All-Season,SUP-271,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,235/50R18,FAL-3417-2355018,247.22,159.4,4.4/5.0 (487 reviews),Express Center - MD,83.0,72.0,11.0,27.0,113.0,H,Summer,SUP-324,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Direzza ZIII,275/35R19,DUN-1403-2753519,253.21,168.27,5.0/5.0 (228 reviews),Express Center - MD,37.0,26.0,11.0,18.0,109.0,H,Winter,SUP-240,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,TrueContact Tour,225/45R17,CON-3891-2254517,237.38,149.31,3.6/5.0 (155 reviews),Secondary Warehouse - OH,61.0,58.0,3.0,21.0,85.0,V,All-Season,SUP-919,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Assurance MaxLife,215/55R16,GDY-1655-2155516,250.72,147.83,4.7/5.0 (323 reviews),Regional Hub - WV,67.0,53.0,14.0,12.0,105.0,Z,All-Season,SUP-647,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
