Brand,Name,Size,SKU,Price,Rating,Load_Index,Speed_Rating,Source,Stock,Installation,Warranty,Road_Hazard,Mounting_Balance
Toyo,Open Country A/T III,245/50R18,TOY-9371-2455018,194.72,4.9/5.0 (287 reviews),115.0,Z,MockData,,,,,
Bridgestone,Turanza QuietTrack,275/35R19,BDS-1669-2753519,216.86,4.5/5.0 (491 reviews),120.0,W,MockData,,,,,
Michelin,CrossClimate2,225/45R17,MCH-6977-2254517,303.52,4.7/5.0 (157 reviews),92.0,Z,MockData,,,,,
Continental,TrueContact Tour,275/35R19,CON-8616-2753519,252.51,3.8/5.0 (229 reviews),103.0,H,MockData,,,,,
Pirelli,Cinturato P7,225/45R17,PIR-7815-2254517,237.35,4.8/5.0 (436 reviews),101.0,V,MockData,,,,,
Cooper,CS5 Ultra Touring,235/50R18,COP-9806-2355018,80.39,4.4/5.0 (460 reviews),118.0,Y,MockData,,,,,
Bridgestone,Blizzak WS90,225/45R17,BDS-5373-2254517,303.69,4.5/5.0 (454 reviews),101.0,W,MockData,,,,,
Bridgestone,Potenza RE-71R,235/50R18,BDS-1032-2355018,307.10,4.0/5.0 (375 reviews),91.0,V,MockData,,,,,
Pirelli,Scorpion Verde,225/60R16,PIR-9649-2256016,188.31,4.3/5.0 (387 reviews),116.0,W,MockData,,,,,
BFGoodrich,Advantage T/A Sport,235/60R18,BFG-9800-2356018,134.77,3.9/5.0 (105 reviews),95.0,H,MockData,,,,,
Falken,Eurowinter HS01,235/60R18,FAL-6828-2356018,221.12,4.5/5.0 (175 reviews),87.0,Z,MockData,,,,,
Continental,ExtremeContact DWS06,245/45R17,CON-5925-2454517,344.04,3.9/5.0 (355 reviews),97.0,Y,MockData,,,,,
Bridgestone,Turanza QuietTrack,225/60R16,BDS-2733-2256016,196.41,3.7/5.0 (376 reviews),90.0,W,MockData,,,,,
Cooper,Zeon RS3-G1,225/60R16,COP-3017-2256016,251.35,4.7/5.0 (151 reviews),111.0,Z,MockData,,,,,
Goodyear,Assurance MaxLife,225/60R16,GDY-5797-2256016,270.62,4.1/5.0 (461 reviews),95.0,Y,MockData,,,,,
BFGoodrich,g-Force COMP-2 A/S,215/55R16,BFG-2246-2155516,296.62,4.8/5.0 (426 reviews),112.0,Y,MockData,,,,,
Goodyear,Assurance MaxLife,265/70R17,GDY-6088-2657017,277.86,4.8/5.0 (80 reviews),106.0,W,MockData,,,,,
Falken,Sincera SN250,225/45R17,FAL-2723-2254517,273.46,4.4/5.0 (404 reviews),86.0,Z,MockData,,,,,
